,precision,recall,f1-score,support
Acremonium,0.0,0.0,0.0,12.0
Acremonium_alternatum,0.0,0.0,0.0,12.0
Acremonium_strictum,0.0,0.0,0.0,12.0
Alternaria,0.0,0.0,0.0,12.0
Arthrinium_phaeospermum,0.0,0.0,0.0,12.0
Ascospirella_lutea,0.0,0.0,0.0,12.0
Aspergillus,0.0,0.0,0.0,12.0
Aspergillus_aculeatinus,0.0,0.0,0.0,11.0
Aspergillus_arachidicola,0.18,0.75,0.2903225806451613,12.0
Aspergillus_calidoustus,0.0,0.0,0.0,12.0
Aspergillus_creber,0.0,0.0,0.0,12.0
Aspergillus_flavus,0.0,0.0,0.0,23.0
Aspergillus_lentulus,0.3333333333333333,0.1,0.15384615384615385,10.0
Aspergillus_minisclerotigenes,0.0,0.0,0.0,12.0
Aspergillus_montevidensis,0.0,0.0,0.0,12.0
Aspergillus_neoglaber,0.0,0.0,0.0,12.0
Aspergillus_nomiae,0.17647058823529413,0.25,0.20689655172413793,12.0
Aspergillus_occultus,0.0,0.0,0.0,12.0
Aspergillus_pseudonomiae,0.0,0.0,0.0,12.0
Aspergillus_puniceus,0.0,0.0,0.0,12.0
Aspergillus_thermomutatus,0.0,0.0,0.0,10.0
Aspergillus_ustus,0.0,0.0,0.0,11.0
Aspergillus_uvarum,0.34615384615384615,0.6,0.43902439024390244,30.0
Aspergillus_wentii,0.0,0.0,0.0,11.0
Asteromyces_cruciatus,0.1,0.16666666666666666,0.125,12.0
Aureobasidium_melanogenum,0.0,0.0,0.0,12.0
Aureobasidium_pullulans,0.0,0.0,0.0,12.0
Byssochlamys_spectabilis,0.0,0.0,0.0,12.0
Cladosporium,0.06451612903225806,0.08333333333333333,0.07272727272727272,24.0
Cladosporium_delicatulum,0.0,0.0,0.0,12.0
Cladosporium_tenuissimum,0.0,0.0,0.0,12.0
Cladosporium_varians,0.0,0.0,0.0,12.0
Drechslera,0.0,0.0,0.0,12.0
Epicoccum_nigrum,0.0,0.0,0.0,24.0
Fusarium_acuminatum,0.0,0.0,0.0,12.0
Fusarium_chlamydosporum,0.0,0.0,0.0,12.0
Fusarium_equiseti,0.2,0.08333333333333333,0.11764705882352941,12.0
Fusarium_foetens,0.5,0.5833333333333334,0.5384615384615384,12.0
Fusarium_tricinctum,0.0,0.0,0.0,24.0
Hamigera_avellanea,0.0,0.0,0.0,12.0
Hamigera_avellanea var. alba,0.0,0.0,0.0,12.0
Hypocrea_pulvinata,0.06439393939393939,0.7083333333333334,0.11805555555555555,24.0
Hypocrea_sulphurea,0.0,0.0,0.0,12.0
Hypocrea_thelephoricola,0.0,0.0,0.0,12.0
Mariannaea_elegans,0.09803921568627451,0.4166666666666667,0.15873015873015872,12.0
Microdochium_nivale,0.0,0.0,0.0,12.0
Monascus_ruber,0.0,0.0,0.0,12.0
Monilinia_fructigena,0.0,0.0,0.0,12.0
Nigrospora_oryzae,0.09333333333333334,0.3888888888888889,0.15053763440860216,36.0
Paecilomyces_maximus,0.08695652173913043,0.27586206896551724,0.1322314049586777,29.0
Penicillago_kabunica,0.0,0.0,0.0,12.0
Penicilliopsis_zonata,0.0,0.0,0.0,12.0
Penicillium restrictum,0.0,0.0,0.0,12.0
Penicillium_allii-sativi,0.12307692307692308,0.6666666666666666,0.2077922077922078,12.0
Penicillium_antarcticum,0.0,0.0,0.0,11.0
Penicillium_arizonense,0.0,0.0,0.0,9.0
Penicillium_atramentosum,0.0,0.0,0.0,12.0
Penicillium_brasilianum,0.0,0.0,0.0,12.0
Penicillium_camponotum,0.0,0.0,0.0,11.0
Penicillium_canescens,0.0,0.0,0.0,24.0
Penicillium_caseifulvum,0.0,0.0,0.0,8.0
Penicillium_chrysogenum,0.0,0.0,0.0,12.0
Penicillium_citrinum,0.0,0.0,0.0,12.0
Penicillium_coprobium,0.0,0.0,0.0,7.0
Penicillium_croceum,0.0,0.0,0.0,12.0
Penicillium_damascenum,0.0,0.0,0.0,12.0
Penicillium_fagi,0.0,0.0,0.0,19.0
Penicillium_flavigenum,0.0,0.0,0.0,12.0
Penicillium_frequentans,0.0,0.0,0.0,7.0
Penicillium_glabrum,0.0,0.0,0.0,20.0
Penicillium_griseopurpureum,0.0,0.0,0.0,7.0
Penicillium_hordei,0.0,0.0,0.0,12.0
Penicillium_janczewskii,0.0,0.0,0.0,24.0
Penicillium_jensenii,0.0,0.0,0.0,12.0
Penicillium_krskae,0.0,0.0,0.0,12.0
Penicillium_manginii,0.0,0.0,0.0,12.0
Penicillium_neojanthinellum,0.07660455486542443,0.7708333333333334,0.1393596986817326,48.0
Penicillium_ochrochloron,0.0,0.0,0.0,24.0
Penicillium_olsonii,0.0,0.0,0.0,12.0
Penicillium_onobense,0.0,0.0,0.0,36.0
Penicillium_piscarium,0.36363636363636365,0.36363636363636365,0.36363636363636365,11.0
Penicillium_restrictum,0.0,0.0,0.0,24.0
Penicillium_ribium,0.0,0.0,0.0,12.0
Penicillium_rotoruae,0.11235955056179775,0.2777777777777778,0.16,36.0
Penicillium_ruben,0.0,0.0,0.0,12.0
Penicillium_rubens,0.0,0.0,0.0,10.0
Penicillium_scabrosum,0.5,0.041666666666666664,0.07692307692307693,24.0
Penicillium_soppii,0.0,0.0,0.0,12.0
Penicillium_steckii,0.0,0.0,0.0,12.0
Penicillium_velutinum,0.0,0.0,0.0,8.0
Penicillium_vulpinum,0.0,0.0,0.0,11.0
Penicillium_waksmanii,0.0,0.0,0.0,12.0
Penicillium_wotroi,0.0,0.0,0.0,24.0
Pesisa_ostracoderma,0.3333333333333333,0.6666666666666666,0.4444444444444444,12.0
Pezicula_carpinea,0.0,0.0,0.0,12.0
Phoma_americana,0.0,0.0,0.0,12.0
Phoma_epicoccina,0.0,0.0,0.0,12.0
Phoma_glomerata,0.0,0.0,0.0,12.0
Phoma_pomorum,0.1111111111111111,0.5833333333333334,0.18666666666666668,24.0
Phoma_sorghina,0.3333333333333333,0.25,0.2857142857142857,12.0
Purpureocillium_lilacinum,0.0,0.0,0.0,22.0
Rasamsonia_argillacea,0.0,0.0,0.0,12.0
Rasamsonia_eburnea,0.0,0.0,0.0,12.0
Rasamsonia_piperina,0.0,0.0,0.0,12.0
Rhizomucor_pusillus,0.2,0.041666666666666664,0.06896551724137931,24.0
Rhizopus_microsporus,0.0,0.0,0.0,12.0
Rhizopus_stolonifer,0.3333333333333333,0.75,0.46153846153846156,12.0
Sordaria_fimicola,0.5454545454545454,0.5,0.5217391304347826,12.0
Stemphylium_vesicarium,0.0,0.0,0.0,12.0
Talaromyces_apiculatus,0.0,0.0,0.0,12.0
Talaromyces_funiculosus,0.0,0.0,0.0,12.0
Thermoascus_verrucosus,0.0,0.0,0.0,12.0
Trichoderma,0.027777777777777776,0.08333333333333333,0.041666666666666664,12.0
Trichoderma_atroviride,0.0,0.0,0.0,12.0
Trichoderma_harzianum,0.0,0.0,0.0,12.0
Trichoderma_longibrachiatum,0.0,0.0,0.0,12.0
Ulocladium_chartarum,0.0,0.0,0.0,12.0
accuracy,0.11196682464454977,0.11196682464454977,0.11196682464454977,0.11196682464454977
macro avg,0.04532664729394318,0.08035896096240923,0.0466831352125193,1688.0
weighted avg,0.052898096690647975,0.11196682464454977,0.05555217744280357,1688.0
